artifact_group,path_pattern,files_removed,reason,evidence_status,replacement_or_kept_artifact
legacy_internal_results,outputs/milestones/legacy_core_results/,349,"Superseded by paper-facing release_story, reliability_fortress, scientific_release_success_map, fixed-budget utility, and NMI presubmission milestones.",obsolete_intermediate,outputs/milestones/release_story/; outputs/milestones/reliability_fortress/; outputs/milestones/scientific_release_success_map/
generated_archive_packages,outputs/packages/*.tar.gz,20,Binary package archives duplicate tracked milestone directories and can be regenerated by make package-release.,regenerable_archive,tracked milestone directories and Makefile package-release target
ctc_prefill_package,outputs/milestones/ctc_strict_human_audit_prefill/,7,Prefill/private-key review package was an adjudication aid and is not the final human-confirmed audit evidence.,removed_prefill_not_evidence,outputs/milestones/ctc_strict_human_audit/
spacenet_prefill_sheets,outputs/spacenet7_real_audit/*_review_prefill.csv,3,Prefill review sheets were intermediate review aids; final audit summaries and blind templates remain.,removed_prefill_not_evidence,outputs/milestones/spacenet_real_audit_final/
iwildcam_second_review_drafts,outputs/milestones/scientific_domain_iwildcam_human_audit/*draft*,10,Draft and correction-draft files were pending-confirmation aids; final human-confirmed second-review tables remain.,removed_draft_not_evidence,outputs/milestones/iwildcam_audit_final/
prefill_draft_helper_scripts,scripts/*prefill*; scripts/*second_review*draft*; scripts/*spacenet7_real_audit*; scripts/finalize_*human*.py,9,Scripts only generated or finalized removed prefill/draft label aids and are not needed in the pre-release artifact package.,removed_helper_only,"claim-alignment, final evidence, and validation scripts remain"
local_runtime_scratch,CRASH; input_tmp.in; __pycache__/; .pytest_cache/; tmp/,not_tracked,Local runtime/cache files are excluded from the formal repository state.,runtime_only,.gitignore
spacenet_historical_workspace,outputs/spacenet7_real_audit/,30,Historical workspace duplicated finalized paper-facing SpaceNet evidence and retained metadata/prefill wording; final tables live under spacenet_real_audit_final.,removed_superseded_workspace,outputs/milestones/spacenet_real_audit_final/
a3_mattergen_smoke_pilot_intermediates,outputs/milestones/mattergen_parc_prospective_dft_followup/*smoke*; raw_mattergen_candidates.csv; generated_5k_*; public_label_free_pilot_4039.csv,15,"Smoke/pilot generation and scoring aids are not formal pre-DFT selection evidence; formal selection, public-label exclusion, DFT manifests and run package remain.",removed_intermediate_not_evidence,selection_frozen_v4.csv; dft_job_manifest_v4*.csv; A3_DFT_RUN_PACKAGE/
large_breadth_candidate_payloads,generality_reliability/candidate_*.csv; lvvis_mask_certification/mask_shards/mask_nodes_shard*.csv,7,"Large candidate-level breadth payloads are not primary claim-bearing evidence and make the GitHub pre-release unnecessarily heavy; summary tables, provenance notes and manifests remain.",removed_large_payload_use_external_artifact,paper-facing summary tables and artifact availability notes
qe_pseudopotential_payloads,A3_QE_LOCAL_RUN/pseudos/*.UPF,70,"Third-party pseudopotential payloads are local execution dependencies, not paper evidence; table_qe_pseudopotential_map.csv keeps names and hashes. Local files remain ignored for active tmux DFT jobs.",untracked_local_runtime_dependency,A3_QE_LOCAL_RUN/table_qe_pseudopotential_map.csv
