video_id,path_id,node_index,image_id,frame_index,image_path,bbox_x,bbox_y,bbox_w,bbox_h,score
1,ovtb_v1_p000000,0,46,330,/home/waas/paper_experiments/data/TAO/train/YFCC100M/v_8b6283255797fc7e94f3a93947a2803/frame0331.jpg,268.5482482910156,336.73358154296875,12.95758056640625,25.9136962890625,0.6212294697761536
1,ovtb_v1_p000001,0,51,480,/home/waas/paper_experiments/data/TAO/train/YFCC100M/v_8b6283255797fc7e94f3a93947a2803/frame0481.jpg,217.5017547607422,360.54962158203125,13.494232177734375,25.15704345703125,0.5383208990097046
1,ovtb_v1_p000002,0,57,660,/home/waas/paper_experiments/data/TAO/train/YFCC100M/v_8b6283255797fc7e94f3a93947a2803/frame0661.jpg,347.5531921386719,354.71923828125,12.456787109375,21.7633056640625,0.6160635948181152
1,ovtb_v1_p000002,1,62,810,/home/waas/paper_experiments/data/TAO/train/YFCC100M/v_8b6283255797fc7e94f3a93947a2803/frame0811.jpg,351.37432861328125,357.8095703125,12.52178955078125,19.52545166015625,0.5465877652168274
1,ovtb_v1_p000003,0,68,990,/home/waas/paper_experiments/data/TAO/train/YFCC100M/v_8b6283255797fc7e94f3a93947a2803/frame0991.jpg,401.40301513671875,306.3269348144531,14.8865966796875,26.86810302734375,0.4910605251789093
1,ovtb_v1_p000004,0,73,1140,/home/waas/paper_experiments/data/TAO/train/YFCC100M/v_8b6283255797fc7e94f3a93947a2803/frame1141.jpg,437.7647399902344,316.0657958984375,14.59600830078125,28.17376708984375,0.3699977397918701
1,ovtb_v1_p000005,0,79,1320,/home/waas/paper_experiments/data/TAO/train/YFCC100M/v_8b6283255797fc7e94f3a93947a2803/frame1321.jpg,481.8317565917969,280.3797607421875,15.20037841796875,20.902587890625,0.45621830224990845
1,ovtb_v1_p000006,0,57,660,/home/waas/paper_experiments/data/TAO/train/YFCC100M/v_8b6283255797fc7e94f3a93947a2803/frame0661.jpg,98.07466125488281,80.85722351074219,22.404571533203125,11.284332275390625,0.6689932942390442
1,ovtb_v1_p000007,0,62,810,/home/waas/paper_experiments/data/TAO/train/YFCC100M/v_8b6283255797fc7e94f3a93947a2803/frame0811.jpg,119.74988555908203,80.34220123291016,20.016761779785156,14.861480712890625,0.6762956380844116
1,ovtb_v1_p000008,0,68,990,/home/waas/paper_experiments/data/TAO/train/YFCC100M/v_8b6283255797fc7e94f3a93947a2803/frame0991.jpg,176.8212432861328,42.04438400268555,16.019927978515625,12.343315124511719,0.45739319920539856
1,ovtb_v1_p000009,0,73,1140,/home/waas/paper_experiments/data/TAO/train/YFCC100M/v_8b6283255797fc7e94f3a93947a2803/frame1141.jpg,201.4726104736328,72.08686828613281,44.563140869140625,28.836776733398438,0.31285470724105835
