audit_id,path_id,queue_membership,queue_calibration,queue_simulated_strict_release,queue_raw_topK_reference,simulated_release_hits,simulated_release_budgets,simulated_release_seeds,ctc_dataset,sequence_id,frame_start,frame_end,video_id,candidate_rank,score,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status,human_confirmation_note
CTC-AUDIT-00001,ctc_Fluo-N2DL-HeLa_02_f019_s812_to_f020_t812,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","3,6,8,9",Fluo-N2DL-HeLa,2,19,20,220019,1,1.0,Fluo-N2DL-HeLa/02/t019,19,582,606,1,1,Fluo-N2DL-HeLa/02/t020,20,582,606,1,1,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-00002,ctc_Fluo-N2DL-HeLa_02_f022_s812_to_f023_t812,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","1,5,9,10,11,12,17",Fluo-N2DL-HeLa,2,22,23,220022,2,1.0,Fluo-N2DL-HeLa/02/t022,22,580,604,1,1,Fluo-N2DL-HeLa/02/t023,23,580,604,1,1,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-00003,ctc_Fluo-N2DL-HeLa_02_f026_s812_to_f027_t812,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","0,7,15,17",Fluo-N2DL-HeLa,2,26,27,220026,3,1.0,Fluo-N2DL-HeLa/02/t026,26,585,602,1,1,Fluo-N2DL-HeLa/02/t027,27,585,602,1,1,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-00004,ctc_Fluo-N2DL-HeLa_02_f028_s812_to_f029_t812,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","3,4,7,8,11,13,15,19",Fluo-N2DL-HeLa,2,28,29,220028,4,1.0,Fluo-N2DL-HeLa/02/t028,28,583,603,1,1,Fluo-N2DL-HeLa/02/t029,29,583,603,1,1,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-00005,ctc_Fluo-N2DL-HeLa_02_f036_s812_to_f037_t812,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","3,4,9,14,15,19",Fluo-N2DL-HeLa,2,36,37,220036,5,1.0,Fluo-N2DL-HeLa/02/t036,36,590,571,1,1,Fluo-N2DL-HeLa/02/t037,37,590,571,1,1,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-00006,ctc_PhC-C2DH-U373_02_f026_s7_to_f027_t7,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","1,3,15,19",PhC-C2DH-U373,2,26,27,320026,6,1.0,PhC-C2DH-U373/02/t026,26,639,323,3,3,PhC-C2DH-U373/02/t027,27,639,323,3,3,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-00007,ctc_PhC-C2DH-U373_02_f086_s9_to_f087_t9,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","4,6,7,8,17,19",PhC-C2DH-U373,2,86,87,320086,7,1.0,PhC-C2DH-U373/02/t086,86,635,265,3,3,PhC-C2DH-U373/02/t087,87,635,265,3,3,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-00008,ctc_PhC-C2DH-U373_02_f043_s9_to_f044_t9,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","0,5,6,9,10,16",PhC-C2DH-U373,2,43,44,320043,8,0.9999999999999998,PhC-C2DH-U373/02/t043,43,638,296,3,3,PhC-C2DH-U373/02/t044,44,638,296,3,3,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-00009,ctc_PhC-C2DH-U373_02_f051_s9_to_f052_t9,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","0,3,4,5,6,7,15,19",PhC-C2DH-U373,2,51,52,320051,9,0.9999999999999998,PhC-C2DH-U373/02/t051,51,634,285,3,3,PhC-C2DH-U373/02/t052,52,634,285,3,3,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-00010,ctc_PhC-C2DH-U373_02_f057_s11_to_f058_t11,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","1,6,7,10,11,13,18",PhC-C2DH-U373,2,57,58,320057,10,0.9999999999999998,PhC-C2DH-U373/02/t057,57,509,457,3,3,PhC-C2DH-U373/02/t058,58,509,457,3,3,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
