dataset,task,detector,alpha1,seed,stratification_dimension,stratum,certification_state,count,rate_within_scope,certification_scope_count
OVT-B,tracking,,0.1,0,object_size,large,released,78,0.8571428571428571,91
OVT-B,tracking,,0.1,0,object_size,large,refused,13,0.14285714285714285,91
OVT-B,tracking,,0.1,0,object_size,medium,released,32,0.8,40
OVT-B,tracking,,0.1,0,object_size,medium,refused,8,0.2,40
OVT-B,tracking,,0.1,0,object_size,small,released,16,0.8421052631578947,19
OVT-B,tracking,,0.1,0,object_size,small,refused,3,0.15789473684210525,19
OVT-B,tracking,,0.1,0,occlusion_level,attribute_unavailable,released,126,0.84,150
OVT-B,tracking,,0.1,0,occlusion_level,attribute_unavailable,refused,24,0.16,150
OVT-B,tracking,,0.1,0,motion_speed,fast,released,71,0.8352941176470589,85
OVT-B,tracking,,0.1,0,motion_speed,fast,refused,14,0.16470588235294117,85
OVT-B,tracking,,0.1,0,motion_speed,medium,released,41,0.8913043478260869,46
OVT-B,tracking,,0.1,0,motion_speed,medium,refused,5,0.10869565217391304,46
OVT-B,tracking,,0.1,0,motion_speed,slow,released,14,0.7368421052631579,19
OVT-B,tracking,,0.1,0,motion_speed,slow,refused,5,0.2631578947368421,19
OVT-B,tracking,,0.1,0,track_length,long,released,100,0.9174311926605505,109
OVT-B,tracking,,0.1,0,track_length,long,refused,9,0.08256880733944955,109
OVT-B,tracking,,0.1,0,track_length,medium,released,12,0.5454545454545454,22
OVT-B,tracking,,0.1,0,track_length,medium,refused,10,0.45454545454545453,22
OVT-B,tracking,,0.1,0,track_length,short,released,14,0.7368421052631579,19
OVT-B,tracking,,0.1,0,track_length,short,refused,5,0.2631578947368421,19
OVT-B,tracking,,0.1,0,category_frequency,head,released,82,0.8541666666666666,96
OVT-B,tracking,,0.1,0,category_frequency,head,refused,14,0.14583333333333334,96
OVT-B,tracking,,0.1,0,category_frequency,mid,released,17,0.8095238095238095,21
OVT-B,tracking,,0.1,0,category_frequency,mid,refused,4,0.19047619047619047,21
OVT-B,tracking,,0.1,0,category_frequency,tail,released,27,0.8181818181818182,33
OVT-B,tracking,,0.1,0,category_frequency,tail,refused,6,0.18181818181818182,33
OVT-B,tracking,,0.1,1,object_size,large,released,0,0.0,91
OVT-B,tracking,,0.1,1,object_size,large,refused,91,1.0,91
OVT-B,tracking,,0.1,1,object_size,medium,released,0,0.0,40
OVT-B,tracking,,0.1,1,object_size,medium,refused,40,1.0,40
OVT-B,tracking,,0.1,1,object_size,small,released,0,0.0,19
OVT-B,tracking,,0.1,1,object_size,small,refused,19,1.0,19
OVT-B,tracking,,0.1,1,occlusion_level,attribute_unavailable,released,0,0.0,150
OVT-B,tracking,,0.1,1,occlusion_level,attribute_unavailable,refused,150,1.0,150
OVT-B,tracking,,0.1,1,motion_speed,fast,released,0,0.0,85
OVT-B,tracking,,0.1,1,motion_speed,fast,refused,85,1.0,85
OVT-B,tracking,,0.1,1,motion_speed,medium,released,0,0.0,46
OVT-B,tracking,,0.1,1,motion_speed,medium,refused,46,1.0,46
OVT-B,tracking,,0.1,1,motion_speed,slow,released,0,0.0,19
OVT-B,tracking,,0.1,1,motion_speed,slow,refused,19,1.0,19
OVT-B,tracking,,0.1,1,track_length,long,released,0,0.0,109
OVT-B,tracking,,0.1,1,track_length,long,refused,109,1.0,109
OVT-B,tracking,,0.1,1,track_length,medium,released,0,0.0,22
OVT-B,tracking,,0.1,1,track_length,medium,refused,22,1.0,22
OVT-B,tracking,,0.1,1,track_length,short,released,0,0.0,19
OVT-B,tracking,,0.1,1,track_length,short,refused,19,1.0,19
OVT-B,tracking,,0.1,1,category_frequency,head,released,0,0.0,96
OVT-B,tracking,,0.1,1,category_frequency,head,refused,96,1.0,96
OVT-B,tracking,,0.1,1,category_frequency,mid,released,0,0.0,21
OVT-B,tracking,,0.1,1,category_frequency,mid,refused,21,1.0,21
OVT-B,tracking,,0.1,1,category_frequency,tail,released,0,0.0,33
OVT-B,tracking,,0.1,1,category_frequency,tail,refused,33,1.0,33
OVT-B,tracking,,0.1,2,object_size,large,released,0,0.0,91
OVT-B,tracking,,0.1,2,object_size,large,refused,91,1.0,91
OVT-B,tracking,,0.1,2,object_size,medium,released,0,0.0,40
OVT-B,tracking,,0.1,2,object_size,medium,refused,40,1.0,40
OVT-B,tracking,,0.1,2,object_size,small,released,0,0.0,19
OVT-B,tracking,,0.1,2,object_size,small,refused,19,1.0,19
OVT-B,tracking,,0.1,2,occlusion_level,attribute_unavailable,released,0,0.0,150
OVT-B,tracking,,0.1,2,occlusion_level,attribute_unavailable,refused,150,1.0,150
OVT-B,tracking,,0.1,2,motion_speed,fast,released,0,0.0,85
OVT-B,tracking,,0.1,2,motion_speed,fast,refused,85,1.0,85
OVT-B,tracking,,0.1,2,motion_speed,medium,released,0,0.0,46
OVT-B,tracking,,0.1,2,motion_speed,medium,refused,46,1.0,46
OVT-B,tracking,,0.1,2,motion_speed,slow,released,0,0.0,19
OVT-B,tracking,,0.1,2,motion_speed,slow,refused,19,1.0,19
OVT-B,tracking,,0.1,2,track_length,long,released,0,0.0,109
OVT-B,tracking,,0.1,2,track_length,long,refused,109,1.0,109
OVT-B,tracking,,0.1,2,track_length,medium,released,0,0.0,22
OVT-B,tracking,,0.1,2,track_length,medium,refused,22,1.0,22
OVT-B,tracking,,0.1,2,track_length,short,released,0,0.0,19
OVT-B,tracking,,0.1,2,track_length,short,refused,19,1.0,19
OVT-B,tracking,,0.1,2,category_frequency,head,released,0,0.0,96
OVT-B,tracking,,0.1,2,category_frequency,head,refused,96,1.0,96
OVT-B,tracking,,0.1,2,category_frequency,mid,released,0,0.0,21
OVT-B,tracking,,0.1,2,category_frequency,mid,refused,21,1.0,21
OVT-B,tracking,,0.1,2,category_frequency,tail,released,0,0.0,33
OVT-B,tracking,,0.1,2,category_frequency,tail,refused,33,1.0,33
OVT-B,tracking,,0.2,0,object_size,large,released,91,1.0,91
OVT-B,tracking,,0.2,0,object_size,large,refused,0,0.0,91
OVT-B,tracking,,0.2,0,object_size,medium,released,40,1.0,40
OVT-B,tracking,,0.2,0,object_size,medium,refused,0,0.0,40
OVT-B,tracking,,0.2,0,object_size,small,released,19,1.0,19
OVT-B,tracking,,0.2,0,object_size,small,refused,0,0.0,19
OVT-B,tracking,,0.2,0,occlusion_level,attribute_unavailable,released,150,1.0,150
OVT-B,tracking,,0.2,0,occlusion_level,attribute_unavailable,refused,0,0.0,150
OVT-B,tracking,,0.2,0,motion_speed,fast,released,85,1.0,85
OVT-B,tracking,,0.2,0,motion_speed,fast,refused,0,0.0,85
OVT-B,tracking,,0.2,0,motion_speed,medium,released,46,1.0,46
OVT-B,tracking,,0.2,0,motion_speed,medium,refused,0,0.0,46
OVT-B,tracking,,0.2,0,motion_speed,slow,released,19,1.0,19
OVT-B,tracking,,0.2,0,motion_speed,slow,refused,0,0.0,19
OVT-B,tracking,,0.2,0,track_length,long,released,109,1.0,109
OVT-B,tracking,,0.2,0,track_length,long,refused,0,0.0,109
OVT-B,tracking,,0.2,0,track_length,medium,released,22,1.0,22
OVT-B,tracking,,0.2,0,track_length,medium,refused,0,0.0,22
OVT-B,tracking,,0.2,0,track_length,short,released,19,1.0,19
OVT-B,tracking,,0.2,0,track_length,short,refused,0,0.0,19
OVT-B,tracking,,0.2,0,category_frequency,head,released,96,1.0,96
OVT-B,tracking,,0.2,0,category_frequency,head,refused,0,0.0,96
OVT-B,tracking,,0.2,0,category_frequency,mid,released,21,1.0,21
OVT-B,tracking,,0.2,0,category_frequency,mid,refused,0,0.0,21
OVT-B,tracking,,0.2,0,category_frequency,tail,released,33,1.0,33
OVT-B,tracking,,0.2,0,category_frequency,tail,refused,0,0.0,33
OVT-B,tracking,,0.2,1,object_size,large,released,91,1.0,91
OVT-B,tracking,,0.2,1,object_size,large,refused,0,0.0,91
OVT-B,tracking,,0.2,1,object_size,medium,released,40,1.0,40
OVT-B,tracking,,0.2,1,object_size,medium,refused,0,0.0,40
OVT-B,tracking,,0.2,1,object_size,small,released,19,1.0,19
OVT-B,tracking,,0.2,1,object_size,small,refused,0,0.0,19
OVT-B,tracking,,0.2,1,occlusion_level,attribute_unavailable,released,150,1.0,150
OVT-B,tracking,,0.2,1,occlusion_level,attribute_unavailable,refused,0,0.0,150
OVT-B,tracking,,0.2,1,motion_speed,fast,released,85,1.0,85
OVT-B,tracking,,0.2,1,motion_speed,fast,refused,0,0.0,85
OVT-B,tracking,,0.2,1,motion_speed,medium,released,46,1.0,46
OVT-B,tracking,,0.2,1,motion_speed,medium,refused,0,0.0,46
OVT-B,tracking,,0.2,1,motion_speed,slow,released,19,1.0,19
OVT-B,tracking,,0.2,1,motion_speed,slow,refused,0,0.0,19
OVT-B,tracking,,0.2,1,track_length,long,released,109,1.0,109
OVT-B,tracking,,0.2,1,track_length,long,refused,0,0.0,109
OVT-B,tracking,,0.2,1,track_length,medium,released,22,1.0,22
OVT-B,tracking,,0.2,1,track_length,medium,refused,0,0.0,22
OVT-B,tracking,,0.2,1,track_length,short,released,19,1.0,19
OVT-B,tracking,,0.2,1,track_length,short,refused,0,0.0,19
OVT-B,tracking,,0.2,1,category_frequency,head,released,96,1.0,96
OVT-B,tracking,,0.2,1,category_frequency,head,refused,0,0.0,96
OVT-B,tracking,,0.2,1,category_frequency,mid,released,21,1.0,21
OVT-B,tracking,,0.2,1,category_frequency,mid,refused,0,0.0,21
OVT-B,tracking,,0.2,1,category_frequency,tail,released,33,1.0,33
OVT-B,tracking,,0.2,1,category_frequency,tail,refused,0,0.0,33
OVT-B,tracking,,0.2,2,object_size,large,released,0,0.0,91
OVT-B,tracking,,0.2,2,object_size,large,refused,91,1.0,91
OVT-B,tracking,,0.2,2,object_size,medium,released,0,0.0,40
OVT-B,tracking,,0.2,2,object_size,medium,refused,40,1.0,40
OVT-B,tracking,,0.2,2,object_size,small,released,0,0.0,19
OVT-B,tracking,,0.2,2,object_size,small,refused,19,1.0,19
OVT-B,tracking,,0.2,2,occlusion_level,attribute_unavailable,released,0,0.0,150
OVT-B,tracking,,0.2,2,occlusion_level,attribute_unavailable,refused,150,1.0,150
OVT-B,tracking,,0.2,2,motion_speed,fast,released,0,0.0,85
OVT-B,tracking,,0.2,2,motion_speed,fast,refused,85,1.0,85
OVT-B,tracking,,0.2,2,motion_speed,medium,released,0,0.0,46
OVT-B,tracking,,0.2,2,motion_speed,medium,refused,46,1.0,46
OVT-B,tracking,,0.2,2,motion_speed,slow,released,0,0.0,19
OVT-B,tracking,,0.2,2,motion_speed,slow,refused,19,1.0,19
OVT-B,tracking,,0.2,2,track_length,long,released,0,0.0,109
OVT-B,tracking,,0.2,2,track_length,long,refused,109,1.0,109
OVT-B,tracking,,0.2,2,track_length,medium,released,0,0.0,22
OVT-B,tracking,,0.2,2,track_length,medium,refused,22,1.0,22
OVT-B,tracking,,0.2,2,track_length,short,released,0,0.0,19
OVT-B,tracking,,0.2,2,track_length,short,refused,19,1.0,19
OVT-B,tracking,,0.2,2,category_frequency,head,released,0,0.0,96
OVT-B,tracking,,0.2,2,category_frequency,head,refused,96,1.0,96
OVT-B,tracking,,0.2,2,category_frequency,mid,released,0,0.0,21
OVT-B,tracking,,0.2,2,category_frequency,mid,refused,21,1.0,21
OVT-B,tracking,,0.2,2,category_frequency,tail,released,0,0.0,33
OVT-B,tracking,,0.2,2,category_frequency,tail,refused,33,1.0,33
TAO,tracking,,0.1,0,object_size,large,released,0,0.0,67
TAO,tracking,,0.1,0,object_size,large,refused,67,1.0,67
TAO,tracking,,0.1,0,object_size,medium,released,0,0.0,55
TAO,tracking,,0.1,0,object_size,medium,refused,55,1.0,55
TAO,tracking,,0.1,0,object_size,small,released,0,0.0,28
TAO,tracking,,0.1,0,object_size,small,refused,28,1.0,28
TAO,tracking,,0.1,0,occlusion_level,attribute_unavailable,released,0,0.0,150
